Food Within 5km of downtown Indianapolis(with repeats removed),,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Name,Address,Rating,Website,Open Hour,Cuisine Type
Sabor Latino,"2531 Shelby St, Indianapolis, IN 46203, USA",3.9,N/A,"['Monday: Closed', 'Tuesday: Closed', 'Wednesday: Closed', 'Thursday: 12:00\u202fPM\u2009–\u20093:00\u202fAM', 'Friday: 12:00\u202fPM\u2009–\u20093:00\u202fAM', 'Saturday: 12:00\u202fPM\u2009–\u20093:00\u202fAM', 'Sunday: 12:00\u202fPM\u2009–\u20093:00\u202fAM']",N/A
Fat Dan's Deli,"410 E Michigan St, Indianapolis, IN 46204, USA",4.6,http://www.fatdansdeli.com/,"['Monday: 11:00\u202fAM\u2009–\u200910:00\u202fPM', 'Tuesday: 11:00\u202fAM\u2009–\u200910:00\u202fPM', 'Wednesday: 11:00\u202fAM\u2009–\u200910:00\u202fPM', 'Thursday: 11:00\u202fAM\u2009–\u200910:00\u202fPM', 'Friday: 11:00\u202fAM\u2009–\u200911:00\u202fPM', 'Saturday: 11:00\u202fAM\u2009–\u200911:00\u202fPM', 'Sunday: 11:00\u202fAM\u2009–\u200910:00\u202fPM']",N/A
FELIX TACOS TRUCK,"3145 W Washington St, Indianapolis, IN 46222, USA",4.5,N/A,"['Monday: 5:00\u202fPM\u2009–\u200912:00\u202fAM', 'Tuesday: 5:00\u202fPM\u2009–\u200912:00\u202fAM', 'Wednesday: 5:00\u202fPM\u2009–\u200912:00\u202fAM', 'Thursday: 5:00\u202fPM\u2009–\u200912:00\u202fAM', 'Friday: 5:00\u202fPM\u2009–\u20092:00\u202fAM', 'Saturday: 5:00\u202fPM\u2009–\u20092:00\u202fAM', 'Sunday: 5:00\u202fPM\u2009–\u200912:00\u202fAM']",N/A
Neighborhood Famous,"515 King Ave, Indianapolis, IN 46222, USA",3,https://www.neighborhoodfamoustogo.com/,"['Monday: 11:00\u202fAM\u2009–\u20093:00\u202fAM', 'Tuesday: 11:00\u202fAM\u2009–\u20093:00\u202fAM', 'Wednesday: 11:00\u202fAM\u2009–\u20093:00\u202fAM', 'Thursday: 11:00\u202fAM\u2009–\u20093:00\u202fAM', 'Friday: 12:00\u202fPM\u2009–\u20095:00\u202fAM', 'Saturday: 12:00\u202fPM\u2009–\u20095:00\u202fAM', 'Sunday: 12:00\u202fPM\u2009–\u20095:00\u202fAM']",N/A
JMW Food Delivery,"South Tower, 201 N Illinois St #1600, Indianapolis, IN 46204, USA",2.5,http://jmwfood.com/,"['Monday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u200911:00\u202fPM', 'Saturday: 12:00\u2009–\u200911:00\u202fPM', 'Sunday: 12:00\u2009–\u20099:00\u202fPM']",N/A
Terri's Corner Kitchen,"2805 E Michigan St, Indianapolis, IN 46201, USA",5,N/A,"['Monday: Closed', 'Tuesday: Closed', 'Wednesday: Closed', 'Thursday: Closed', 'Friday: 10:00\u202fPM\u2009–\u20094:00\u202fAM', 'Saturday: Closed', 'Sunday: 6:00\u202fPM\u2009–\u200912:00\u202fAM']",N/A
Poured to Perfection- Mobile Bartenders,"248 E Southern Ave, Indianapolis, IN 46225, USA",5,https://poured-to-perfection-mobile-bartenders.business.site/?utm_source=gmb&utm_medium=referral,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",N/A
T'Days Jerk,"36 E Troy Ave, Indianapolis, IN 46225, USA",4.4,http://tdaysjerk.com/,N/A,N/A
The Night Owl Food Truck,"South and, S Meridian St, Indianapolis, IN 46225, USA",5,http://mercersnightowl.com/,"['Monday: Closed', 'Tuesday: Closed', 'Wednesday: Closed', 'Thursday: 8:30\u202fPM\u2009–\u20092:30\u202fAM', 'Friday: 8:30\u202fPM\u2009–\u20093:30\u202fAM', 'Saturday: 8:30\u202fPM\u2009–\u20093:30\u202fAM', 'Sunday: 6:00\u202fPM\u2009–\u20091:00\u202fAM']",N/A
The Grub House,"1953 N College Ave, Indianapolis, IN 46202, USA",4.1,http://grubhouseindy.com/,"['Monday: Closed', 'Tuesday: Closed', 'Wednesday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Sunday: Closed']",N/A
